Place,Latitude,Longitude,Person,Scale,Type,Present day,How long he stayed there,Travel time in days to the place,How leave there,Section,,Origin,End,LatitudeBeginning,LongitudeBeginning,LatitudeEnd,LongitudeEnd,,How long stayed (months)
Kano,11.50000000,8.50000000,El Hadj Ahmed El-Fellati,Local,Hajj Pilgrimage,"Kano, Nigeria",Origin,,Caravan,1st pilgrimage,,Kano,Damerghou,11.50000000,8.50000000,15.00000000,8.91666700,,
Damerghou,15.00000000,8.91666700,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Zinder, Niger",,,Caravan,1st pilgrimage,,Damerghou,Aghadès,15.00000000,8.91666700,16.96895940,7.95174880,,
Aghadès,16.96895940,7.95174880,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Agadez, Niger",,,Caravan,1st pilgrimage,,Aghadès,Aïr,16.96895940,7.95174880,18.00000000,8.50000000,,
Aïr,18.00000000,8.50000000,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Agadez, Niger",,,Caravan,1st pilgrimage,,Aïr,Rhat,18.00000000,8.50000000,24.96472200,10.17277800,,
Rhat,24.96472200,10.17277800,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Ghat, Libya",6 days,,Caravan,1st pilgrimage,,Rhat,Rhadamès,24.96472200,10.17277800,30.13366100,9.50072300,,
Rhadamès,30.13366100,9.50072300,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Ghadamiz, Libya",3 months,,Caravan,1st pilgrimage,,Rhadamès,Tripoli,30.13366100,9.50072300,32.88293200,13.15323040,,3.00000000
Tripoli,32.88293200,13.15323040,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Tripoli, Libya",,,Caravan,1st pilgrimage,,Tripoli,Alexandria,32.88293200,13.15323040,30.76229590,29.69626770,,
Alexandria,30.76229590,29.69626770,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Alexandria, Egypt",,,Foot,1st pilgrimage,,Alexandria,Djedda,30.76229590,29.69626770,21.28540670,39.23755070,,
Djedda,21.2854067,39.2375507,El Hadj Ahmed El-Fellati,Global,Hajj Pilgrimage,"Jeddah, Saudi Arabia",,,Foot,1st pilgrimage,,Djedda,La Mecque,21.28540670,39.23755070,21.52355840,41.91964710,,
La Mecque,21.52355840,41.91964710,El Hadj Ahmed El-Fellati,Global,Hajj Pilgrimage,"Mecca, Saudi Arabia",,,Foot,1st pilgrimage,,La Mecque,Médine,21.52355840,41.91964710,24.84039770,39.32062410,,
Médine,24.84039770,39.32062410,El Hadj Ahmed El-Fellati,Global,Hajj Pilgrimage,"Medina, Saudi Arabia",,,Caravan,1st pilgrimage,,Médine,El Ouêche (Jabal al Wushayka),24.84039770,39.32062410,30.18333300,29.98333300,,
El Ouêche (Jabal al Wushayka),30.18333300,29.98333300,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Al Buhayrah, Egypt",1 month,,Caravan,1st pilgrimage,,El Ouêche (Jabal al Wushayka),Alexandria,30.18333300,29.98333300,30.76229590,29.69626770,,3.00000000
Alexandria,30.76229590,29.69626770,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Alexandria, Egypt",,,By land,1st pilgrimage,,Alexandria,Djerhaboul (Jarabub),30.76229590,29.69626770,29.68333300,24.71666700,,
Djerhaboul (Jarabub),29.68333300,24.71666700,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Al Jaghbub, Libya",,,By land,1st pilgrimage,,Djerhaboul (Jarabub),Benghazi,29.68333300,24.71666700,32.11766400,20.12927500,,
Benghazi,32.11766400,20.12927500,El Hadj Ahmed El-Fellati,Regional,Hajj Pilgrimage,"Benghazi, Libya",,,By sea,1st pilgrimage,,Benghazi,Tripoli,32.11766400,20.12927500,32.88293200,13.15323040,,
